SK_ID_CURR,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_UPDATE_MEAN,CODE_GENDER,NAME_INCOME_TYPE_cat_Working,BURO_CREDIT_ACTIVE_cat_Active_MEAN,BURO_CREDIT_ACTIVE_cat_Closed_MEAN,PREV_NAME_CONTRACT_STATUS_cat_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_cat_Refused_MEAN,PREV_CODE_REJECT_REASON_cat_HC_MEAN,PREV_CODE_REJECT_REASON_cat_SCOFR_MEAN,PREV_CODE_REJECT_REASON_cat_XAP_MEAN,PREV_NAME_PRODUCT_TYPE_cat_walk-in_MEAN
222231,-19005.0,-741.0,0.6997271040866192,0.6722428897082422,-402.0,-594.0,-402.0,-498.0,-259.0,-297.5,1,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
348498,-22077.0,-1050.0,0.6727509525136408,0.5549467685334323,-367.0,-2366.0,-339.0,-1122.0,-540.0,-200.66666666666666,0,1,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0
410382,-19392.0,-1886.0,0.7070176144161534,0.5352762504724826,-632.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,1,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
215197,-21703.0,-1544.0,0.5373530610486625,0.5352762504724826,-959.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,0,0.375,0.625,0.8,0.0,0.0,0.0,1.0,0.0
434938,-13672.0,-2228.0,0.6577343839509505,0.5046813193144684,-1734.0,-1554.0,-58.0,-640.7142857142857,-1351.0,-354.85714285714283,1,1,0.42857142857142855,0.5714285714285714,0.8181818181818182,0.18181818181818182,0.0,0.0,0.8181818181818182,0.18181818181818182
167845,-11976.0,-515.0,0.5621651788560735,0.4048783643353997,-591.0,-1685.0,-251.0,-992.578947368421,-1463.0,-548.421052631579,0,1,0.21052631578947367,0.7894736842105263,1.0,0.0,0.0,0.0,1.0,0.0
448116,-19817.0,-1544.0,0.3713237763405639,0.5424451438613613,-2437.0,-2262.0,-376.0,-1239.5,-435.0,-155.5,0,1,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0
358119,-13214.0,-3538.0,0.4586085555130808,0.7338145369642702,-1800.0,-2711.0,-171.0,-1960.3333333333333,-2498.0,-967.8333333333334,0,1,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,0.0
139760,-14583.0,-359.0,0.4658487746698609,0.4866531565147181,-1564.0,-2710.0,-468.0,-1730.75,-2527.0,-444.25,1,0,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0
102116,-17231.0,-1344.0,0.7461966139749001,0.6577838002083306,-300.0,-2874.0,-478.0,-1673.25,-2143.0,-728.5,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
395709,-11096.0,-1051.0,0.3914463652747501,0.5352762504724826,-898.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,0,0,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
278529,-18002.0,-971.0,0.6707209164456681,0.7649392739475195,-810.0,-2279.0,-269.0,-2279.0,-465.0,-461.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
261838,-14930.0,-739.0,0.6275253242335762,0.633031641417419,-555.0,-2407.0,-439.0,-1250.25,-2096.0,-727.5,0,1,0.25,0.75,0.5,0.5,0.125,0.0,0.5,0.125
380926,-17688.0,-348.0,0.5101251897948935,0.6894791426446275,-2151.0,-1332.0,-88.0,-849.25,-967.0,-237.5,1,1,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0
155244,-11636.0,-1015.0,0.2037497910137408,0.1176137317080569,-617.0,-69.0,-69.0,-69.0,1027.0,-8.0,0,1,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333
202650,-14440.0,-2701.0,0.4968311265189229,0.3233112448967859,-315.0,-310.0,-310.0,-310.0,801.0,-10.0,1,1,1.0,0.0,0.625,0.0,0.0,0.0,0.875,0.125
137623,-14853.0,-5945.0,0.5546700739181861,0.5064842396679806,-1540.0,-2917.0,-1163.0,-2150.6666666666665,-2552.0,-1190.0,0,1,0.16666666666666666,0.8333333333333334,0.4,0.6,0.0,0.0,0.4,0.0
201164,-16889.0,-1660.0,0.6421337607708159,0.6363761710860439,-1146.0,-794.0,-794.0,-794.0,1032.0,-28.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333
365404,-14757.0,-247.0,0.325271957054181,0.5867400085415683,-3089.0,-2907.0,-138.0,-1593.3333333333333,-2504.0,-1074.8333333333333,0,1,0.25,0.75,0.5,0.0,0.0,0.0,1.0,0.0
203345,-23555.0,-1544.0,0.5847068272434229,0.5352762504724826,-1980.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,0,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
449875,-13520.0,-2452.0,0.5038505019111407,0.4543210601605785,-829.0,-1529.0,-37.0,-806.75,-1317.0,-589.25,1,1,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0
313926,-10332.0,-1989.0,0.2052046474780176,0.5352762504724826,0.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,0,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
264210,-20019.0,-5987.0,0.6752734315108554,0.5352762504724826,-619.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,1,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
329296,-21195.0,-1544.0,0.7814363831973243,0.5352762504724826,-1331.0,-2630.0,-644.0,-1265.8,-1353.0,-740.6,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
235041,-20156.0,-419.0,0.7225774507775395,0.5352762504724826,-1018.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,0,1,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
153375,-21926.0,-1544.0,0.3135737507772776,0.3807996826489149,-92.0,-2824.0,-241.0,-1263.5294117647059,-2673.0,-837.5882352941177,1,0,0.17647058823529413,0.8235294117647058,0.5,0.0,0.0,0.0,1.0,0.0
446669,-16026.0,-1310.0,0.3081583912043755,0.2735646775174348,-606.0,-42.0,-42.0,-42.0,325.0,-9.0,1,1,0.5,0.5,0.375,0.125,0.0,0.0,0.875,0.0
107515,-19197.0,-882.0,0.225397742802527,0.5352762504724826,-591.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,0,0.375,0.625,0.6,0.0,0.0,0.0,1.0,0.0
238839,-15556.0,-1193.0,0.6987705646056872,0.2721336844147212,-1687.0,-2186.0,-427.0,-1100.4,-1974.0,-513.2,1,1,0.6,0.4,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0
